Model ID,Type,Base Model,Task,Library,Download,Model Category,Real Type,Real base model,Real domain,is transformer-based,is_base_model,is_dependent_model,is_base_and_dependent_model,is_isloated,is_dependency_miss,is_dependency_wrong
SVECTOR-CORPORATION/Spec-T1-RL-7B,,,text-generation,,4744,NLP,/,/,NLP,1,0,0,0,1,0,0
speechbrain/tts-hifigan-libritts-16kHz,,,text-to-speech,speechbrain,4290,Audio,/,/,Audio,0,0,0,0,1,0,0
paloalma/ECE-TW3-JRGL-V1,,,text-generation,transformers,10620,NLP,merge,152334H/miqu-1-70b-sf and  ShinojiResearch/Senku-70B-Full,NLP,1,1,1,1,0,1,0
ibm-granite/granite-3b-code-instruct-2k,finetune,ibm-granite/granite-3b-code-base-2k,text-generation,transformers,3496,NLP,finetune,ibm-granite/granite-3b-code-base-2k,NLP,1,1,1,1,0,0,0
llm-jp/llm-jp-3-980m,,,text-generation,transformers,3527,NLP,/,/,NLP,1,1,0,0,0,0,0
wannaphong/wav2vec2-large-xlsr-53-th-cv8-newmm,,,automatic-speech-recognition,transformers,8477,Audio,finetune,wav2vec2-large-xlsr-53,audio,1,0,1,0,0,1,0
pritamdeka/S-PubMedBert-MS-MARCO,,,sentence-similarity,sentence-transformers,56575,NLP,finetune,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,NLP,1,1,1,1,0,1,0
NLPark/AnFeng_v3_Avocet,,,text-generation,transformers,10612,NLP,/,/,NLP,1,1,0,0,0,0,0
timm/vit_large_patch14_dinov2.lvd142m,,,image-feature-extraction,timm,58434,CV,/,/,CV,1,1,0,0,0,0,0
llm-jp/llm-jp-3-7.2b-instruct3,,,text-generation,transformers,40566,NLP,finetune,llm-jp/llm-jp-3-7.2b,NLP,1,1,1,1,0,1,0
wisenut-nlp-team/Wisedom-8B-EmbeddingReordering,,,text-generation,transformers,3302,NLP,/,/,NLP,1,1,0,0,0,0,0
diffusers/controlnet-canny-sdxl-1.0,finetune,runwayml/stable-diffusion-v1-5,text-to-image,diffusers,9021,CV,finetune,runwayml/stable-diffusion-v1-5,CV,1,1,1,1,0,0,0
sashaboguraev/filler_gap_obj_pythia-410m_pos_3_layer_18,,,,,11169,Unknown,/,/,Unknown,?,0,0,0,1,0,0
mradermacher/GPT4chan-24B-i1-GGUF,quantized,v2ray/GPT4chan-24B,,transformers,3853,Unknown,quantized,v2ray/GPT4chan-24B,NLP,1,0,1,0,0,0,0
bartowski/WhiteRabbitNeo-2.5-Qwen-2.5-Coder-7B-GGUF,quantized,WhiteRabbitNeo/WhiteRabbitNeo-2.5-Qwen-2.5-Coder-7B,text-generation,transformers,5094,NLP,quantized,WhiteRabbitNeo/WhiteRabbitNeo-2.5-Qwen-2.5-Coder-7B,NLP,1,0,1,0,0,0,0
PaddlePaddle/PP-DocBlockLayout,,,image-to-text,PaddleOCR,7945,CV,/,/,CV,0,0,0,0,1,0,0
pszemraj/flan-t5-large-grammar-synthesis,,,text-generation,transformers,7571,NLP,finetune,google/flan-t5-large,NLP,1,1,1,1,0,1,0
Byungchae/k2s3_test_0001,,,text-generation,transformers,3317,NLP,finetune,meta-llama/Llama-2-13b-chat-hf,NLP,1,0,1,0,0,1,0
chentong00/propositionizer-wiki-flan-t5-large,,,text-generation,transformers,8450,NLP,/,/,NLP,1,1,0,0,0,0,0
timm/vit_large_patch14_clip_224.openai,,,,timm,3704,Unknown,/,/,multimodal,1,0,0,0,1,0,0
Nara-Lab/nallm-polyglot-ko-1.3b-base,,,text-generation,transformers,3337,NLP,/,/,NLP,1,0,0,0,1,0,0
circulus/canvers-ko2en-v1,,,text-generation,transformers,58935,NLP,/,/,NLP,1,0,0,0,1,0,0
PekingU/rtdetr_v2_r50vd,,,object-detection,transformers,8312,CV,/,/,CV,1,1,0,0,0,0,0
GAI-LLM/llama-2-koen-13b-mixed-v10,,,text-generation,transformers,3341,NLP,finetune,llama-2,NLP,1,0,1,0,0,1,0
fishaudio/fish-speech-1.5,,,text-to-speech,,4178,Audio,/,/,audio,?,1,0,0,0,0,0
AnatoliiPotapov/T-lite-instruct-0.1,,,text-generation,transformers,5339,NLP,finetune,T-lite-0.1,NLP,1,1,1,1,0,1,0
barc0/Llama-3.1-ARC-Potpourri-Transduction-8B,finetune,meta-llama/Llama-3.1-8B-Instruct,text-generation,transformers,3543,NLP,finetune,meta-llama/Llama-3.1-8B-Instruct,NLP,1,1,1,1,0,0,0
unsloth/Llama-3.2-3B-bnb-4bit,quantized,meta-llama/Llama-3.2-3B,text-generation,transformers,13937,NLP,quantized,meta-llama/Llama-3.2-3B,NLP,1,1,1,1,0,0,0
ai4bharat/indictrans2-indic-en-1B,,,translation,transformers,506503,NLP,/,/,NLP,1,1,0,0,0,0,0
Xenova/paraphrase-multilingual-MiniLM-L12-v2,quantized,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,feature-extraction,transformers.js,49530,NLP,quantized,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,NLP,1,0,1,0,0,0,0
elyza/ELYZA-japanese-Llama-2-13b-instruct,,,text-generation,transformers,3286,NLP,finetune,elyza/ELYZA-japanese-Llama-2-13b,NLP,1,1,1,1,0,1,0
echarlaix/tiny-mpt-random-remote-code,,,text-generation,transformers,7912,NLP,/,/,NLP,1,1,0,0,0,0,0
TheBloke/WizardLM-1.0-Uncensored-Llama2-13B-GGUF,quantized,cognitivecomputations/WizardLM-1.0-Uncensored-Llama2-13b,,transformers,6253,Unknown,quantized,cognitivecomputations/WizardLM-1.0-Uncensored-Llama2-13b,NLP,1,0,1,0,0,0,0
hf-tiny-model-private/tiny-random-MCTCTModel,,,feature-extraction,transformers,11846,NLP,/,/,NLP,1,0,0,0,1,0,0
microsoft/beit-large-patch16-224,,,image-classification,transformers,3204,CV,/,/,CV,1,1,0,0,0,0,0
protectai/distilroberta-base-rejection-v1,quantized,distilbert/distilroberta-base,text-classification,transformers,32904,NLP,quantized,distilbert/distilroberta-base,NLP,1,0,1,0,0,0,0
KBlueLeaf/DanTagGen-beta,,,text-generation,transformers,15046,NLP,/,/,NLP,1,1,0,0,0,0,0
zheng95z/rgb-to-x,,,,diffusers,6402,Unknown,/,/,CV,0,0,0,0,1,0,0
Efficient-Large-Model/NVILA-8B-Video,,,text-generation,transformers,7794,NLP,/,/,multimodal,1,0,0,0,1,0,0
Mhair/180,,,,,3832,Unknown,finetune,distributed/llama-1b,NLP,1,0,1,0,0,1,0
texonom/multilingual-e5-small-4096,,,feature-extraction,transformers,6469,NLP,convert,efederici/multilingual-e5-small-4096,NLP,1,0,1,0,0,1,0
unsloth/Qwen2.5-Coder-32B-Instruct,finetune,Qwen/Qwen2.5-Coder-32B-Instruct,text-generation,transformers,3829,NLP,finetune,Qwen/Qwen2.5-Coder-32B-Instruct,NLP,1,1,1,1,0,0,0
btrabucco/Insta-Qwen2.5-1.5B-SFT,,,,,3811,Unknown,finetune,Qwen/Qwen2.5-1.5B-Instruct,NLP,1,0,1,0,0,1,0
unsloth/Qwen2.5-Math-1.5B-Instruct,finetune,Qwen/Qwen2.5-Math-1.5B-Instruct,text-generation,transformers,3080,NLP,finetune,Qwen/Qwen2.5-Math-1.5B-Instruct,NLP,1,1,1,1,0,0,0
terminusresearch/pixart-900m-1024-ft-v0.6,finetune,terminusresearch/pixart-900m-1024-ft-v0.5,text-to-image,diffusers,8101,CV,finetune,terminusresearch/pixart-900m-1024-ft-v0.5,CV,0,1,1,1,0,0,0
